opb,clh,rpe,cob,coe,cmr,sve,emv,ecv
8.0,-1.61938305171,-3.70855755474,5.1,2.0,2.9,-1.70855755474,7.03959298748,6.60855755474
8.0,-1.87027421094,-2.46091642867,7.2,-2.0,2.8,-2.46091642867,5.98911402428,5.26091642867
5.0,-1.66341018171,-0.296804969249,4.5,0.0,5.5,-0.296804969249,5.9988682598,5.79680496925
5.0,nan,nan,nan,0.0,nan,nan,7.03959298748,nan
5.0,-1.63522190434,-1.87389229273,6.0,0.0,9.5,-1.87389229273,5.98911402428,5.87389229273
5.0,-1.66341018171,0.203195030751,4.0,0.0,15.5,0.203195030751,5.9988682598,5.79680496925
8.0,-1.61938305171,-3.60855755474,6.8,nan,18.5,-3.40855755474,7.03959298748,6.60855755474
5.0,-1.63522190434,-1.87389229273,6.0,0.0,22.5,-1.87389229273,5.98911402428,5.87389229273
5.0,-1.66341018171,0.503195030751,3.7,0.0,28.8,0.503195030751,5.9988682598,5.79680496925
5.0,-2.82441143704,-3.46605141895,7.1,0.0,28.8,-0.56605141895,7.03959298748,3.46605141895
5.0,-1.5910388698,-0.989114024283,5.0,0.0,33.8,-0.989114024283,5.98911402428,5.98911402428
8.0,-1.92730892711,-5.10860256943,4.2,0.2,33.8,0.691397430575,5.9988682598,5.10860256943
8.0,nan,nan,nan,-0.2,nan,nan,7.03959298748,nan
5.0,-1.5910388698,-0.689114024283,4.7,0.0,39.1,-0.689114024283,5.98911402428,5.98911402428
5.0,-1.66341018171,-5.79680496925,4.5,0.0,39.1,-0.296804969249,5.9988682598,5.79680496925
5.0,-1.61938305171,-6.60855755474,8.1,0.0,39.1,-4.70855755474,7.03959298748,6.60855755474
5.0,nan,nan,nan,0.0,nan,nan,5.98911402428,nan
8.0,-1.66341018171,0.703195030751,3.5,2.9,45.6,0.703195030751,5.9988682598,5.79680496925
8.0,-1.95302733452,-5.73847082594,7.1,-2.9,45.6,-2.83847082594,7.03959298748,5.73847082594
5.0,-2.04282680804,-4.81092902443,4.3,0.0,45.6,0.88907097557,5.98911402428,4.81092902443
5.0,-1.92730892711,2.09139743057,2.8,0.0,52.8,2.09139743057,5.9988682598,5.10860256943
5.0,-1.61938305171,-3.70855755474,7.1,5.8,55.7,-3.70855755474,7.03959298748,6.60855755474
5.0,-2.04282680804,-4.81092902443,4.0,-5.8,55.7,1.18907097557,5.98911402428,4.81092902443
8.0,nan,nan,nan,nan,nan,nan,5.9988682598,nan
5.0,-1.61938305171,-6.60855755474,8.0,0.0,55.7,-4.60855755474,7.03959298748,6.60855755474
5.0,nan,nan,nan,0.0,nan,nan,5.98911402428,nan
5.0,-1.92730892711,2.09139743057,2.8,5.5,62.9,2.09139743057,5.9988682598,5.10860256943
5.0,nan,nan,nan,-5.5,nan,nan,7.03959298748,nan
8.0,-1.72956661172,-5.62785757237,4.9,1.9,62.9,-0.527857572368,5.98911402428,5.62785757237
8.0,-1.92730892711,1.89139743057,3.0,-1.9,69.9,1.89139743057,5.9988682598,5.10860256943
5.0,-1.61938305171,-4.00855755474,6.4,nan,72.5,-3.00855755474,7.03959298748,6.60855755474
5.0,-1.5910388698,-0.989114024283,5.0,0.0,77.5,-0.989114024283,5.98911402428,5.98911402428
5.0,-1.92730892711,2.19139743057,2.7,0.0,84.8,2.19139743057,5.9988682598,5.10860256943
8.0,-1.45409779558,-7.03959298748,8.7,2.9,84.8,-5.73959298748,7.03959298748,7.03959298748
8.0,-1.5910388698,-0.589114024283,4.6,-2.9,90.2,-0.589114024283,5.98911402428,5.98911402428
5.0,-1.92730892711,-5.10860256943,3.6,5.7,90.2,1.29139743057,5.9988682598,5.10860256943
5.0,-1.45409779558,-7.03959298748,8.6,-5.7,90.2,-5.63959298748,7.03959298748,7.03959298748
5.0,-1.72956661172,0.272142427632,4.1,0.0,96.1,0.272142427632,5.98911402428,5.62785757237
5.0,-1.92730892711,1.89139743057,3.0,0.0,103.1,1.89139743057,5.9988682598,5.10860256943
8.0,-1.45409779558,-7.03959298748,8.3,4.4408920985e-16,103.1,-5.33959298748,7.03959298748,7.03959298748
8.0,nan,nan,nan,0.0,nan,nan,5.98911402428,nan
5.0,-1.92730892711,1.89139743057,3.0,6.0,110.1,1.89139743057,5.9988682598,5.10860256943
5.0,-1.63951341245,-5.55606104684,8.5,-6.0,111.1,-5.05606104684,7.03959298748,6.55606104684
5.0,-1.72956661172,-5.62785757237,5.4,nan,111.1,-1.02785757237,5.98911402428,5.62785757237
8.0,nan,nan,nan,2.0,nan,nan,5.9988682598,nan
8.0,-1.63951341245,-5.45606104684,7.9,-2.0,112.2,-4.45606104684,7.03959298748,6.55606104684
5.0,-1.5910388698,-0.889114024283,4.9,nan,117.3,-0.889114024283,5.98911402428,5.98911402428
5.0,-1.92730892711,1.99139743057,2.9,0.0,124.4,1.99139743057,5.9988682598,5.10860256943
5.0,-1.63951341245,-5.25606104684,8.4,0.0,125.7,-4.95606104684,7.03959298748,6.55606104684
8.0,-1.5910388698,-0.989114024283,5.0,nan,130.7,-0.989114024283,5.98911402428,5.98911402428
5.0,-1.92730892711,-5.10860256943,3.9,5.1,130.7,0.991397430575,5.9988682598,5.10860256943
5.0,nan,nan,nan,-5.1,nan,nan,7.03959298748,nan
5.0,-1.5910388698,-5.98911402428,5.9,0.0,130.7,-1.88911402428,5.98911402428,5.98911402428
5.0,-1.92730892711,1.79139743057,3.1,0.0,137.6,1.79139743057,5.9988682598,5.10860256943
8.0,-1.63951341245,-5.35606104684,8.3,1.0,138.8,-4.85606104684,7.03959298748,6.55606104684
8.0,-1.5910388698,-0.889114024283,4.9,-1.0,143.9,-0.889114024283,5.98911402428,5.98911402428
5.0,nan,nan,nan,0.0,nan,nan,5.9988682598,nan
5.0,-1.63951341245,-5.55606104684,8.3,0.0,144.9,-4.85606104684,7.03959298748,6.55606104684
5.0,nan,nan,nan,0.0,nan,nan,5.98911402428,nan
5.0,-1.92730892711,1.99139743057,2.9,0.0,152.0,1.99139743057,5.9988682598,5.10860256943
8.0,-1.63951341245,-5.45606104684,8.2,1.3,153.1,-4.75606104684,7.03959298748,6.55606104684
8.0,-1.5910388698,-0.789114024283,4.8,-1.3,158.3,-0.789114024283,5.98911402428,5.98911402428
5.0,nan,nan,nan,0.0,nan,nan,5.9988682598,nan
5.0,-1.63951341245,-5.45606104684,8.5,0.0,159.4,-5.05606104684,7.03959298748,6.55606104684
5.0,-1.5910388698,-0.889114024283,4.9,6.4,164.5,-0.889114024283,5.98911402428,5.98911402428
5.0,-3.08698763702,-0.784360563354,8.7,-6.4,165.8,-0.784360563354,5.9988682598,2.08436056335
8.0,-1.63951341245,-5.35606104684,8.7,1.4,167.0,-5.25606104684,7.03959298748,6.55606104684
8.0,-1.5910388698,-1.08911402428,5.1,-1.4,171.9,-1.08911402428,5.98911402428,5.98911402428
5.0,-1.92730892711,1.59139743057,3.3,0.0,178.6,1.59139743057,5.9988682598,5.10860256943
5.0,-1.63951341245,-6.55606104684,9.1,0.0,178.6,-5.65606104684,7.03959298748,6.55606104684
