"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"1","alyasko",1,"NC",4,NA,4.5,NA,"reject",NA,0,"RU",FALSE,NA,NA,NA,0,5,4.5,NA
"2","alyasko",1,"SC",4.5,NA,3.5,6.8,"accept",NA,5.5,"RU",TRUE,NA,0,NA,0,4,7.5,NA
"3","alyasko",1,"BC",7.5,5.9,6.8,NA,"accept",NA,2.5,"RU",TRUE,NA,1,NA,0,NA,5,NA
"4","alyasko",2,"NC",5,NA,4.8,NA,"accept",NA,5,"RU",TRUE,0,1,4,0,5,4,1
"5","alyasko",2,"SC",4,NA,4,2.9,"accept",NA,6,"RU",TRUE,1,1,4.5,0,4.1,5,1
"6","alyasko",3,"NC",5,NA,2,NA,"accept",NA,5,"RU",TRUE,1,1,5,0,4.5,4.1,1
"7","alyasko",3,"SC",4.1,NA,4,4.1,"accept",NA,5.9,"RU",TRUE,1,1,4,0,3.8,6.5,0
"8","alyasko",3,"BC",6.5,6,5,NA,"accept",NA,3.5,"RU",TRUE,NA,1,NA,0,6,4.5,NA
"9","alyasko",4,"NC",4.5,NA,6.8,NA,"reject",NA,0,"RU",FALSE,1,1,5,0,5,3.8,1
"10","alyasko",4,"SC",3.8,NA,3.5,4,"accept",NA,6.2,"RU",TRUE,1,0,4.1,0,4,6,1
"11","alyasko",4,"BC",6,2.5,2.8,NA,"accept",NA,4,"RU",TRUE,1,1,6.5,0,NA,5,1
"12","alyasko",5,"NC",5,NA,8,NA,"reject",NA,0,"RU",FALSE,0,1,4.5,0,NA,4,1
"13","alyasko",5,"SC",4,NA,5.3,0.1,"accept",NA,6,"RU",TRUE,1,0,3.8,0,4,4,0
"14","alyasko",6,"SC",4,NA,2,0.1,"accept",NA,6,"RU",TRUE,1,1,4,0,4,7,1
"15","alyasko",6,"BC",7,7.5,7.1,NA,"reject",NA,0,"RU",FALSE,NA,1,NA,0,7,5.5,NA
"16","alyasko",7,"NC",5.5,NA,8,NA,"reject",NA,0,"RU",FALSE,NA,0,NA,0,6,4,NA
"17","alyasko",7,"SC",4,NA,3.8,3.6,"accept",NA,6,"RU",TRUE,1,0,4,0,NA,7,1
"18","alyasko",7,"BC",7,5.9,6.8,NA,"accept",NA,3,"RU",TRUE,0,1,7,0,7.1,6,0
"19","alyasko",8,"NC",6,NA,3.5,NA,"accept",NA,4,"RU",TRUE,0,1,5.5,0,NA,7.1,1
