opb,clh,rpe,cob,coe,cmr,sve
7.9,-4.07000329747,-0.744444444444,6.8,0.3,2.9,[]
3.8,-3.73845695876,1.03888888889,1.0,2.0,7.0,[ 6.9]
4.9,-4.25907341295,-5.30555555556,6.9,3.1,0.0,[ 1.  -3.1]
7.9,-4.86024050265,-5.1,8.1,1.9,0.0,[-0.2 -4.3 -3.2]
3.8,-3.68289082546,-2.1,3.5,6.5,0.0,[ 4.4  0.3  1.4  4.4]
4.9,-3.8840387255,-2.0,5.5,0.3,4.2,[ 2.4 -1.7 -0.6  2.4 -1.7]
7.9,-4.53648387921,-5.1,6.6,3.4,4.2,[ 1.3 -2.8 -1.7  1.3 -2.8 -1.7]
3.8,-3.6348944155,-2.1,4.0,6.0,4.2,[ 3.9 -0.2  0.9  3.9 -0.2  0.9  3.9]
4.9,-3.86686089264,-6.2,5.0,5.0,4.2,[ 2.9 -1.2 -0.1  2.9 -1.2 -0.1  2.9 -1.2]
7.9,-4.1082123242,-2.1,7.1,-0.1,7.2,[ 0.8 -3.3 -2.2  0.8 -3.3 -2.2  0.8 -3.3 -2.2]
3.8,-3.50104751459,3.9,0.1,3.9,13.2,[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8]
4.9,-4.53829492616,-6.2,6.8,3.2,13.2,[ 1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3. ]
7.9,-4.03148006359,-2.3,4.5,2.7,16.0,[ 3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4]
3.8,-5.13714463632,-2.1,4.0,6.0,16.0,[ 3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9]
4.9,-3.86858832507,-6.2,6.9,3.1,16.0,[ 1.  -3.1 -2.   1.  -3.1 -2.   1.  -3.1 -2.   1.  -3.1 -2.   1.  -3.1]
7.9,-4.49069986804,-5.1,6.8,3.2,16.0,[ 1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9]
3.8,-3.51474712551,3.8,0.0,4.1,21.9,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9]"
4.9,-4.60585514504,-3.3,4.4,2.7,24.8,"[ 3.5 -0.6  0.5  3.5 -0.6  0.5  3.5 -0.6  0.5  3.5 -0.6  0.5  3.5 -0.6  0.5
  3.5 -0.6]"
7.9,-4.31785180236,-5.1,7.2,2.8,24.8,"[ 0.7 -3.4 -2.3  0.7 -3.4 -2.3  0.7 -3.4 -2.3  0.7 -3.4 -2.3  0.7 -3.4 -2.3
  0.7 -3.4 -2.3]"
3.8,-4.71110849496,5.9,1.0,1.0,32.8,"[ 6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9]"
4.9,-4.68110875606,-3.4,3.0,4.2,35.6,"[ 4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9
  4.9  0.8  1.9  4.9  0.8]"
7.9,-3.99873263024,-5.1,8.4,1.6,35.6,"[-0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5
 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5]"
3.8,-4.71011791752,5.9,0.0,2.0,43.6,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9]"
4.9,-4.10111014037,-6.2,6.9,3.1,43.6,"[ 1.  -3.1 -2.   1.  -3.1 -2.   1.  -3.1 -2.   1.  -3.1 -2.   1.  -3.1 -2.
  1.  -3.1 -2.   1.  -3.1 -2.   1.  -3.1]"
7.9,-3.94565384319,-5.1,9.0,1.0,43.6,"[-1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1
 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1]"
3.8,-4.98628841692,6.1,0.0,1.8,51.8,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9]"
4.9,-4.60641214149,-3.3,3.0,4.1,54.7,"[ 4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9
  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8]"
7.9,-3.9075946652,-5.1,9.0,1.0,54.7,"[-1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1
 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1 -1.1 -5.2 -4.1]"
3.8,-6.34394816527,6.9,0.2,0.8,63.7,"[ 7.7  3.6  4.7  7.7  3.6  4.7  7.7  3.6  4.7  7.7  3.6  4.7  7.7  3.6  4.7
  7.7  3.6  4.7  7.7  3.6  4.7  7.7  3.6  4.7  7.7  3.6  4.7  7.7]"
