opb,clh,rpe,cob,coe,cmr,sve,emv,ecv
39.0,-3.00432138059,2.89999999992,5.1,2.0,2.9,4.89999999992,3.24055931167e-08,8.42814486534e-11
39.0,-3.00432138059,2.79999999992,7.2,-2.0,2.8,2.79999999992,3.24055931167e-08,8.42814486534e-11
39.0,-3.00432138065,5.5,4.5,0.0,5.5,5.5,3.24055931167e-08,4.85308523753e-12
39.0,nan,nan,nan,0.0,nan,nan,1.00633139368,nan
39.0,-3.02004079196,3.99999999996,6.0,0.0,9.5,3.99999999996,0.971630311145,3.90453275709e-11
39.0,-1.75884678495,4.09144046036,4.0,0.0,15.5,4.09144046036,1.90855953964,1.90855953964
7.0,-2.3228883393,1.99366860632,6.8,nan,18.5,2.19366860632,1.00633139368,1.00633139368
7.0,-2.08959982543,2.61195669842,6.0,0.0,22.5,2.61195669842,1.38804330158,1.38804330158
7.0,-1.17330421844,2.97166632918,3.7,0.0,28.8,2.97166632918,3.32833367082,3.32833367082
4.0,-3.060987482,-4.85308523753e-12,7.1,0.0,28.8,2.9,1.69815598231,4.85308523753e-12
4.0,-3.15475965708,4.99999999998,5.0,0.0,33.8,4.99999999998,2.29442055138,1.54371409518e-11
7.0,-4.06415004618,-1.06256637289e-12,4.2,0.2,33.8,5.8,4.35953405649,1.06256637289e-12
7.0,nan,nan,nan,-0.2,nan,nan,1.69815598231,nan
6.0,-1.99420457466,3.56494587304,4.7,0.0,39.1,3.56494587304,2.29442055138,1.73505412696
6.0,-1.03918118712,-4.35953405649,4.5,0.0,39.1,1.14046594351,4.35953405649,4.35953405649
4.0,-1.88268060385,-1.69815598231,8.1,0.0,39.1,0.201844017686,1.69815598231,1.69815598231
4.0,nan,nan,nan,0.0,nan,nan,2.97212893683,nan
7.0,-1.31357001373,3.65327145476,3.5,2.9,45.6,3.65327145476,2.84672854524,2.84672854524
7.0,-3.0248164,-3.90453275709e-11,7.1,-2.9,45.6,2.89999999996,1.10887747325,3.90453275709e-11
6.0,-3.4103235238,-1.06256637289e-12,4.3,0.0,45.6,5.7,2.97212893683,1.06256637289e-12
