opb,clh,rpe,cob,coe,cmr,sve,emv,ecv
4.8,-1.83542875825,2.96046938778,6.0,0.0,4.0,2.96046938778,1.5703931242,1.03953061222
4.8,-2.42970753037,3.70561285948,6.0,0.0,4.0,3.70561285948,1.4440883914,0.294387140524
3.2,-2.5869394467,3.61100215143,5.6,0.0,4.0,4.01100215143,2.00033240982,0.388997848571
3.2,-1.41568261451,3.37028429987,5.1,0.0,8.9,3.37028429987,1.5703931242,1.52971570013
8.3,-2.040840883,4.25359771454,5.0,0.4,13.9,4.25359771454,1.4440883914,0.746402285456
8.3,-2.37707744517,-0.633101594008,8.1,-0.4,13.9,1.26689840599,2.00033240982,0.633101594008
4.8,-1.61190063613,4.68681451077,4.0,0.0,19.9,4.68681451077,1.7575469188,1.31318548923
4.8,-1.60083866559,4.73998920658,4.0,0.0,25.9,4.73998920658,1.4440883914,1.26001079342
3.2,-2.62796911011,-0.342072757336,6.1,0.0,25.9,3.55792724266,2.00033240982,0.342072757336
3.2,-1.34780821695,4.36998584984,4.0,0.0,31.9,4.36998584984,1.7575469188,1.63001415016
8.3,-1.45454924032,5.45929029732,3.1,1.9,38.8,5.45929029732,1.58043406379,1.44070970268
8.3,-2.41380005235,3.40969607375,2.6,-1.9,42.8,6.80969607375,2.00033240982,0.590303926253
5.1,-2.26063851451,-0.58950208815,4.0,0.0,42.8,5.41049791185,1.92542519361,0.58950208815
5.1,-1.35020713326,4.41956593621,4.0,0.0,48.8,4.41956593621,1.80975772678,1.58043406379
3.2,-2.21594702853,-0.820799380838,6.6,0.0,48.8,2.57920061916,2.00033240982,0.820799380838
3.2,-1.10809559654,4.07457480639,4.0,0.0,54.8,4.07457480639,1.92542519361,1.92542519361
8.3,-1.83703693414,3.96605450904,5.0,3.9,59.8,3.96605450904,1.87919672107,1.03394549096
8.3,-2.26353332498,-0.765313342693,7.6,-3.9,59.8,1.63468665731,2.00033240982,0.765313342693
5.1,-1.27688915072,3.1424530812,5.1,0.0,64.7,3.1424530812,2.20086645052,1.7575469188
5.1,-1.61019243393,3.69794922423,5.0,0.0,69.7,3.69794922423,1.87919672107,1.30205077577
4.0,-2.122668351,-0.928348863399,7.2,0.0,69.7,1.8716511366,2.00033240982,0.928348863399
4.0,-0.906369050109,3.79913354948,4.0,4.4408920985e-16,75.7,3.79913354948,2.20086645052,2.20086645052
8.3,-1.4013576778,3.44796785667,5.0,3.4,80.7,3.44796785667,1.87919672107,1.55203214333
8.3,-1.265142143,0.0779731931159,7.3,-3.4,82.7,0.777973193116,2.00033240982,1.92202680688
4.0,-1.49862679703,3.84579486413,4.6,6.0,88.1,3.84579486413,2.45768787846,1.55420513587
4.0,-1.12917768106,4.12080327893,4.0,-6.0,94.1,4.12080327893,1.87919672107,1.87919672107
3.1,-1.50195752861,-1.64777637998,8.3,0.0,94.1,0.0522236200151,2.00033240982,1.64777637998
3.1,-1.50994747112,-1.55176266979,6.0,0.0,94.1,2.44823733021,2.45768787846,1.55176266979
8.3,-0.912092223322,3.84223697727,4.0,3.4,100.1,3.84223697727,2.15776302273,2.15776302273
8.3,-2.92060027973,-5.71106203338e-09,7.2,-3.4,100.1,2.79999999429,2.00033240982,5.71106203338e-09
4.0,-1.14666594692,-1.96997674709,6.1,0.0,100.1,1.93002325291,2.45768787846,1.96997674709
4.0,-0.722537429611,3.58250175761,4.0,0.0,106.1,3.58250175761,2.41749824239,2.41749824239
