opb,clh,rpe,cob,coe,cmr,sve
6.9,-9.62571857433,-4.75,4.2,5.8,0.0,[]
6.1,-4.42174745443,-5.06666666667,5.0,5.0,0.0,[ 1.9]
8.5,-6.23377103468,0.711111111111,8.1,-2.0,3.9,[-1.2 -2. ]
6.9,-6.06109515522,-1.5,5.9,4.1,3.9,[ 1.   0.2  2.6]
6.1,-2.76554122814,0.9,6.0,0.0,7.9,[ 0.9  0.1  2.5  0.9]
7.9,-5.64345587239,-3.9,5.6,4.4,7.9,[ 1.3  0.5  2.9  1.3  0.5]
5.5,-3.37855241761,2.9,5.0,0.0,12.9,[ 1.9  1.1  3.5  1.9  1.1  2.9]
6.1,-3.43554272448,-4.5,5.4,4.6,12.9,[ 1.5  0.7  3.1  1.5  0.7  2.5  0.1]
7.1,-3.75482764487,0.1,6.8,-0.8,16.9,[ 0.1 -0.7  1.7  0.1 -0.7  1.1 -1.3 -0.7]
5.0,-3.16893302016,2.1,5.0,0.0,21.9,[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1]
4.8,-3.09562918595,0.0,5.0,0.0,26.9,[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0. ]
6.7,-4.3981489734,-0.2,7.1,-2.1,31.9,"[ -2.00000000e-01  -1.00000000e+00   1.40000000e+00  -2.00000000e-01
  -1.00000000e+00   8.00000000e-01  -1.60000000e+00  -1.00000000e+00
   8.88178420e-16  -2.10000000e+00  -2.30000000e+00]"
4.7,-3.11782758944,1.7,5.0,0.0,36.9,[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7]
5.1,-3.10971719105,-5.3,4.8,5.2,36.9,"[  2.10000000e+00   1.30000000e+00   3.70000000e+00   2.10000000e+00
   1.30000000e+00   3.10000000e+00   7.00000000e-01   1.30000000e+00
   2.30000000e+00   2.00000000e-01   8.88178420e-16   1.90000000e+00
  -1.00000000e-01]"
6.6,-4.3569989519,-4.9,5.6,4.4,36.9,[ 1.3  0.5  2.9  1.3  0.5  2.3 -0.1  0.5  1.5 -0.6 -0.8  1.1 -0.9 -0.5]
4.6,-3.09070692557,1.6,5.0,0.0,41.9,[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6]
4.6,-3.14122548255,-0.4,5.0,0.0,46.9,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4]"
