opb,clh,rpe,cob,coe,cmr,sve
8.2,-5.14819284847,1.35555555556,4.6,0.4,5.0,[]
5.9,-5.10941780254,-5.13888888889,3.8,6.2,0.0,[ 4.4]
7.1,-5.0987397037,1.14444444444,4.5,0.0,5.5,[ 3.7  1.4]
8.2,-5.1864486458,2.6,6.0,-1.5,11.0,[ 2.2 -0.1  1.1]
5.9,-4.46615984458,3.9,4.3,0.0,16.7,[ 3.9  1.6  2.8  3.9]
5.4,-3.99886526071,1.7,4.2,0.0,22.5,[ 4.   1.7  2.9  4.   1.7]
7.9,-4.88639528473,-4.6,4.9,5.1,22.5,[ 3.3  1.   2.2  3.3  1.   0.5]
4.6,-3.48582369658,3.3,4.6,0.0,27.9,[ 3.6  1.3  2.5  3.6  1.3  0.8  3.3]
5.6,-3.95566143905,-5.4,4.5,5.5,27.9,[ 3.7  1.4  2.6  3.7  1.4  0.9  3.4  0.1]
7.8,-4.89839525311,-4.4,7.1,2.9,27.9,"[  1.10000000e+00  -1.20000000e+00   8.88178420e-16   1.10000000e+00
  -1.20000000e+00  -1.70000000e+00   8.00000000e-01  -2.50000000e+00
  -1.50000000e+00]"
4.9,-3.52641906945,-2.2,4.5,5.5,27.9,[ 3.7  1.4  2.6  3.7  1.4  0.9  3.4  0.1  1.1  3.3]
5.9,-3.76972594247,-5.1,6.4,3.6,27.9,[ 1.8 -0.5  0.7  1.8 -0.5 -1.   1.5 -1.8 -0.8  1.4 -1.5]
7.2,-3.94183764891,-0.6,7.4,-0.9,31.4,[ 0.8 -1.5 -0.3  0.8 -1.5 -2.   0.5 -2.8 -1.8  0.4 -2.5 -1.5]
5.3,-3.49429562815,-2.8,5.0,5.0,31.4,[ 3.2  0.9  2.1  3.2  0.9  0.4  2.9 -0.4  0.6  2.8 -0.1  0.9  2.2]
6.1,-3.77289578913,-4.7,5.6,4.4,31.4,"[  2.60000000e+00   3.00000000e-01   1.50000000e+00   2.60000000e+00
   3.00000000e-01  -2.00000000e-01   2.30000000e+00  -1.00000000e+00
   8.88178420e-16   2.20000000e+00  -7.00000000e-01   3.00000000e-01
   1.60000000e+00  -3.00000000e-01]"
6.9,-3.92178709313,-0.1,7.9,-1.7,35.2,"[  3.00000000e-01  -2.00000000e+00  -8.00000000e-01   3.00000000e-01
  -2.00000000e+00  -2.50000000e+00   8.88178420e-16  -3.30000000e+00
  -2.30000000e+00  -1.00000000e-01  -3.00000000e+00  -2.00000000e+00
  -7.00000000e-01  -2.60000000e+00  -1.80000000e+00]"
4.9,-3.82660599526,0.9,6.0,0.0,39.2,"[ 2.2 -0.1  1.1  2.2 -0.1 -0.6  1.9 -1.4 -0.4  1.8 -1.1 -0.1  1.2 -0.7  0.1
  0.9]"
6.3,-4.14892393225,-5.1,4.8,5.2,39.2,"[ 3.4  1.1  2.3  3.4  1.1  0.6  3.1 -0.2  0.8  3.   0.1  1.1  2.4  0.5  1.3
  2.1  0.1]"
6.7,-3.90220812862,0.3,8.6,-2.6,43.2,"[-0.4 -2.7 -1.5 -0.4 -2.7 -3.2 -0.7 -4.  -3.  -0.8 -3.7 -2.7 -1.4 -3.3 -2.5
 -1.7 -3.7 -2.3]"
