beh,opb,clh,rpe,cob,coe,cmr,sve,ecm,ecv,sib
4.0,4.2,-3.63841055629,3.85098736045,4.6,0.0,5.4,3.85098736045,1.56238514847,1.54901263955,4.6
4.5,4.8,-3.46370413746,3.77501901763,4.5,0.0,5.5,3.77501901763,1.74436679519,1.72498098237,4.5
7.5,8.3,-3.19318070142,-0.397118188271,6.0,2.4,1.5999999999999996,2.00288181173,2.00034587372,1.99711818827,8.4
5.0,4.6,-4.12258248492,2.95415636946,5.7,0.0,5.8999999999999995,2.95415636946,1.70690312133,1.34584363054,5.7
4.0,4.5,-3.44170233913,3.25976535344,5.0,0.0,10.899999999999999,3.25976535344,1.8797567621,1.74023464656,5.0
5.0,4.6,-5.20564211158,2.11752734689,7.0,0.0,13.899999999999999,2.11752734689,1.70690312133,0.882472653112,7.0
4.1,4.5,-3.14243528378,3.12611497395,5.0,0.0,18.9,3.12611497395,1.8797567621,1.87388502605,5.0
6.5,8.3,-7.23721880184,-0.257838526628,6.1,3.9,18.9,3.64216147337,2.00034587372,0.257838526628,3.3
4.5,4.6,-3.63062725318,-1.56013457395,5.1,4.9,18.9,3.33986542605,1.70690312133,1.56013457395,4.1
3.8,5.0,-3.62813647896,2.82852927969,5.5,0.0,23.4,2.82852927969,2.00205573998,1.67147072031,5.5
6.0,8.3,-3.18940297835,-0.198078574736,2.6,5.6,25.2,5.40192142526,2.00034587372,1.99807857474,8.2
5.0,4.6,-4.33637540058,-1.25513960639,7.0,3.0,25.2,1.74486039361,1.70690312133,1.25513960639,6.0
4.0,5.0,-3.5426628317,3.88826034059,4.4,0.0,30.799999999999997,3.88826034059,2.00205573998,1.71173965941,4.4
4.0,5.0,-3.75508905407,4.37403862179,4.0,0.0,36.8,4.37403862179,2.00205573998,1.62596137821,4.0
7.0,8.3,-3.65170330429,0.901006343033,7.6,-0.3,39.5,0.601006343033,2.00034587372,1.79899365697,7.3
5.5,4.6,-3.7700916327,-1.49796276581,4.5,5.5,39.5,4.00203723419,1.70690312133,1.49796276581,3.5
4.0,5.0,-3.49256127614,3.35599641343,4.9,0.0,44.6,3.35599641343,2.00205573998,1.74400358657,4.9
7.0,8.3,-4.41441260511,2.02791258611,6.0,0.5,48.1,2.52791258611,2.00034587372,1.47208741389,6.5
6.0,4.6,-3.79788669257,3.41530816562,5.1,0.0,53.0,3.41530816562,1.70690312133,1.48469183438,5.1
7.1,8.3,-4.840421679,2.60995488334,7.3,-1.2,56.9,1.40995488334,2.00034587372,1.29004511666,6.1
3.9,5.0,-3.58592621284,2.9912307074,5.3,0.0,61.6,2.9912307074,2.00205573998,1.7087692926,5.3
7.0,8.3,-3.23587250648,-0.380836342552,8.3,0.1,63.2,-0.280836342552,2.00034587372,1.98083634255,8.4
6.0,4.6,-4.66253870252,2.48334683656,6.4,0.0,66.8,2.48334683656,1.70690312133,1.11665316344,6.4
3.9,5.0,-4.61877104241,2.13135914211,6.6,0.0,70.2,2.13135914211,2.00205573998,1.26864085789,6.6
6.5,4.6,-4.46263693208,2.79632111747,6.0,0.0,74.2,2.79632111747,1.70690312133,1.20367888253,6.0
4.0,5.0,-3.4142642439,2.71255957922,5.5,0.0,78.7,2.71255957922,2.00205573998,1.78744042078,5.5
8.0,8.3,-3.21813780867,-0.487857438152,8.3,0.2,80.2,-0.287857438152,2.00034587372,1.98785743815,8.5
6.5,4.6,-4.64683893452,6.57400120168,2.3,0.0,87.9,6.57400120168,1.70690312133,1.12599879832,2.3
4.0,5.0,-4.87888729932,5.93807840059,2.9,0.0,95.0,5.93807840059,2.00205573998,1.16192159941,2.9
8.0,8.3,-3.21143203355,-0.189957353172,9.0,-0.8,96.8,-0.989957353172,2.00034587372,1.98995735317,8.2
6.5,4.6,-5.12730910013,2.17698576908,6.9,0.0,99.89999999999999,2.17698576908,1.70690312133,0.923014230916,6.9
4.0,5.0,-3.52989630014,3.45563320481,4.8,0.0,105.1,3.45563320481,2.00205573998,1.74436679519,4.8
9.0,8.3,-3.25255598452,-0.571966092187,7.7,0.9,106.5,0.328033907813,2.00034587372,1.97196609219,8.6
4.0,5.0,-3.66374902397,2.90828906689,5.4,0.0,111.1,2.90828906689,2.00205573998,1.69171093311,5.4
8.5,8.3,-3.30504691165,-0.548515482408,8.2,0.4,112.5,-0.148515482408,2.00034587372,1.94851548241,8.6
6.5,4.6,-3.69300680744,3.75975869062,4.7,0.0,117.8,3.75975869062,1.70690312133,1.54024130938,4.7
8.5,8.3,-3.18261737825,-0.300345873721,4.6,3.7,119.5,3.39965412628,2.00034587372,2.00034587372,8.3
4.0,4.6,-4.21727015506,-1.31944012291,3.8,6.2,119.5,4.88055987709,1.70690312133,1.31944012291,2.8
4.0,5.0,-3.19055701171,2.60134463647,5.5,0.0,124.0,2.60134463647,2.00205573998,1.89865536353,5.5
8.5,8.1,-3.22372470098,-0.182169101692,6.2,2.0,125.8,1.81783089831,1.99080417437,1.98216910169,8.2
6.5,4.6,-3.65572093329,4.03988702398,4.4,0.0,131.4,4.03988702398,1.70690312133,1.56011297602,4.4
4.0,5.5,-3.58309294617,3.66515226728,4.6,0.0,136.8,3.66515226728,2.00531049362,1.73484773272,4.6
8.5,8.1,-3.42882919958,-1.89369519392,8.9,1.1,136.8,-0.793695193922,1.99080417437,1.89369519392,7.6
6.5,4.4,-3.66254727157,4.13763128948,4.3,0.0,142.5,4.13763128948,1.725748344,1.56236871052,4.3
4.0,5.5,-3.24296184468,3.31395224341,4.8,0.0,147.7,3.31395224341,2.00531049362,1.88604775659,4.8
6.5,4.3,-5.35149995801,2.05844473579,7.1,0.0,150.6,2.05844473579,1.73201159339,0.841555264215,7.1
